@RELATION summer_products_rating_group_classification

@ATTRIBUTE price NUMERIC
@ATTRIBUTE retail_price NUMERIC
@ATTRIBUTE units_sold NUMERIC
@ATTRIBUTE rating_count NUMERIC
@ATTRIBUTE rating_five_count NUMERIC
@ATTRIBUTE rating_four_count NUMERIC
@ATTRIBUTE rating_three_count NUMERIC
@ATTRIBUTE rating_two_count NUMERIC
@ATTRIBUTE rating_one_count NUMERIC
@ATTRIBUTE product_variation_inventory NUMERIC
@ATTRIBUTE countries_shipped_to NUMERIC
@ATTRIBUTE merchant_rating_count NUMERIC
@ATTRIBUTE merchant_rating NUMERIC
@ATTRIBUTE rating_group {low,medium,high}  % label

@DATA
16.0,14,100,54,26.0,8.0,10.0,1.0,9.0,50,34,568,4.128521126760563,medium
8.0,22,20000,6135,2269.0,1027.0,1118.0,644.0,1077.0,50,41,17752,3.8996732762505633,medium
8.0,43,100,14,5.0,4.0,2.0,0.0,3.0,1,36,295,3.989830508474576,medium
8.0,8,5000,579,295.0,119.0,87.0,42.0,36.0,50,41,23832,4.020434709634105,high
2.72,3,100,20,6.0,4.0,2.0,2.0,6.0,1,35,14482,4.001588178428394,medium
3.92,9,10,1,1.0,0.0,0.0,0.0,0.0,1,40,65,3.507692307692308,high
7.0,6,50000,6742,3172.0,1352.0,971.0,490.0,757.0,50,31,10194,4.076515597410241,medium
12.0,11,1000,286,120.0,56.0,61.0,18.0,31.0,50,139,342,3.681286549707602,medium
11.0,84,100,15,6.0,2.0,3.0,1.0,3.0,50,36,330,3.803030303030303,medium
5.78,22,5000,687,287.0,128.0,92.0,68.0,112.0,50,33,5534,3.999819298879653,medium
5.79,5,1000,613,245.0,101.0,81.0,61.0,125.0,2,25,9470,3.9568109820485744,medium
6.0,8,100,13,3.0,4.0,3.0,0.0,3.0,2,40,3515,3.983783783783784,medium
1.91,6,1000,141,49.0,29.0,24.0,14.0,25.0,1,38,557,4.123877917414721,medium
5.79,42,1000,121,36.0,24.0,23.0,19.0,19.0,50,43,5083,3.9474719653747785,medium
2.0,2,20000,2457,984.0,481.0,459.0,206.0,327.0,1,36,55499,4.138885385322258,medium
11.0,81,1000,426,204.0,94.0,62.0,21.0,45.0,50,41,39381,4.066326401056347,medium
11.0,10,10000,2058,840.0,435.0,386.0,158.0,239.0,50,34,6302,3.958425896540781,medium
5.0,25,100000,17980,8290.0,3483.0,2951.0,1410.0,1846.0,50,41,139223,3.933581376640354,medium
9.0,9,20000,5479,2456.0,1162.0,853.0,431.0,577.0,50,43,22089,4.081624337905745,medium
7.0,7,1000,214,87.0,36.0,49.0,17.0,25.0,7,41,3592,4.062360801781737,medium
11.0,10,5000,1183,506.0,274.0,216.0,81.0,106.0,50,69,23609,4.256597060443052,medium
5.0,6,20000,3552,1437.0,632.0,610.0,358.0,515.0,11,41,12913,3.981336637497096,medium
11.0,26,1000,72,27.0,11.0,11.0,8.0,15.0,2,51,4516,4.231842338352524,medium
7.0,6,5000,510,213.0,98.0,85.0,45.0,69.0,50,138,96838,4.264658501827795,medium
5.71,5,1000,678,290.0,145.0,104.0,61.0,78.0,19,43,80093,4.006692220293909,medium
9.0,32,1000,567,323.0,116.0,58.0,28.0,42.0,50,41,9395,4.1100585417775415,high
9.0,9,1000,216,105.0,48.0,39.0,12.0,12.0,5,60,4298,4.22940902745463,high
5.65,5,20000,2996,1781.0,628.0,374.0,104.0,109.0,50,43,40943,4.017487726839753,high
1.74,2,100,12,7.0,3.0,1.0,0.0,1.0,50,41,18138,3.831513948616165,high
5.65,6,1000,301,156.0,70.0,34.0,18.0,23.0,50,54,7034,4.060278646573784,high
14.0,76,100,31,17.0,4.0,6.0,3.0,1.0,50,36,51369,3.9682688002491777,high
5.65,6,1000,217,137.0,42.0,24.0,9.0,5.0,10,38,44837,4.065905390637197,high
8.0,7,1000,443,215.0,76.0,65.0,29.0,58.0,4,46,3460,3.8708092485549135,medium
2.66,3,5000,1136,418.0,187.0,201.0,133.0,197.0,50,22,223392,4.3063628061882255,medium
9.0,8,10000,1231,555.0,240.0,211.0,87.0,138.0,50,45,10600,3.8675471698113206,medium
11.0,10,1000,274,162.0,47.0,34.0,10.0,21.0,50,31,13946,4.000143410296859,high
8.0,17,100,8,2.0,0.0,3.0,0.0,3.0,50,40,47981,4.025364206665138,low
14.0,12,5000,643,365.0,109.0,73.0,33.0,63.0,2,43,80093,4.006692220293909,high
5.8,8,100,6,3.0,1.0,1.0,0.0,1.0,1,43,16741,3.920852995639448,medium
13.0,13,1000,138,82.0,27.0,10.0,7.0,12.0,50,41,12913,3.981336637497096,high
9.0,81,50000,5359,3111.0,1172.0,650.0,204.0,222.0,50,40,59198,4.105054224804892,high
7.0,68,10,2,0.0,0.0,0.0,1.0,1.0,50,43,397,3.858942065491184,low
12.0,14,100,24,11.0,6.0,2.0,1.0,4.0,50,22,196,4.020408163265306,medium
3.69,40,100,59,22.0,11.0,12.0,4.0,10.0,2,24,10917,4.3648438215627,medium
5.0,5,10000,3208,1467.0,607.0,558.0,241.0,335.0,50,63,27055,4.151395305858436,medium
